Inventory ID,Workstream,Category,Asset Name,Asset Type,Format,Purpose,Launch Phase,Priority,Review Requirement
EI-INV-131,Regulatory Crosswalk,Analysis,Remediation priority model,Scoring model,XLSX,"Prioritize by effective date, consequence, exposure, implementation lead time, and dependency.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-132,Regulatory Crosswalk,Analysis,Legal-review flag register,Register,XLSX,Separate governance implementation guidance from issues requiring legal opinion.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-133,Regulatory Crosswalk,Framework Modules,EU AI Act requirement library,Control library,XLSX,"Maintain structured obligations, dates, actor roles, evidence, and implementation notes.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-134,Regulatory Crosswalk,Framework Modules,NIST AI RMF function and category library,Control library,XLSX,"Maintain GOVERN, MAP, MEASURE, and MANAGE mappings and evidence expectations.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-135,Regulatory Crosswalk,Framework Modules,ISO/IEC 42001 clause and control library,Control library,XLSX,"Maintain management-system clauses, controls, evidence, and implementation notes.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-136,Regulatory Crosswalk,Framework Modules,IEEE 7014.1 requirements library,Control library,XLSX,Maintain applicable governance requirements and traceability fields.,Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-137,Regulatory Crosswalk,Framework Modules,C2PA provenance control library,Control library,XLSX,"Maintain provenance, credential, manifest, signing, and verification mappings relevant to client systems.",Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-138,Regulatory Crosswalk,Framework Modules,State companion-chatbot law tracker,Regulatory library,XLSX,"Track enacted and proposed disclosure, safety, reporting, and user-remedy requirements.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-139,Regulatory Crosswalk,Framework Modules,Internal policy crosswalk adapter,Template,DOCX,Map organizational policies into the same obligation-control-evidence structure.,Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-140,Regulatory Crosswalk,Outputs,Implementation guidance report,Core deliverable,DOCX,"Explain applicability assumptions, material gaps, control options, sequencing, and limitations.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-141,Regulatory Crosswalk,Outputs,Executive crosswalk summary,Core deliverable,XLSX,"Present decisions, deadlines, highest-risk gaps, and resources required.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-142,Regulatory Crosswalk,Outputs,Evidence binder index,Core deliverable,XLSX,"Organize evidence artifacts for internal audit, legal review, customer assurance, or future assessment.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-143,Regulatory Crosswalk,Outputs,Crosswalk maintenance log,Tracker,XLSX,"Record source changes, interpretation changes, control updates, and client decisions.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-144,Regulatory Crosswalk,Outputs,Crosswalk limitations and disclaimer page,Disclosure,DOCX,"State source date, assumptions, exclusions, non-legal-advice boundary, and no-certification status.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-145,Staff Training,Program Design,Training needs assessment,Questionnaire,XLSX,"Identify roles, baseline knowledge, operating context, use cases, and competency goals.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-146,Staff Training,Program Design,Role-to-learning-path matrix,Matrix,XLSX,"Assign Foundation, Practitioner, Governance Lead, or custom modules by responsibility.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-147,Staff Training,Program Design,Learning objectives and competency map,Framework,DOCX,Define observable knowledge and application outcomes for every module.,Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-148,Staff Training,Program Design,Delivery format standard,Standard,DOCX,"Define live virtual, onsite, hybrid, cohort, self-paced, and recording conditions.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-149,Staff Training,Program Design,Accessibility and accommodation checklist,Checklist,XLSX,"Collect and implement accessibility, captioning, document, and participation needs.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-150,Staff Training,Foundation,Foundation curriculum,Curriculum,DOCX,"Teach AI-mediated trust, disclosure, consent, accountability, human review, remedy, and longitudinal governance.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-151,Staff Training,Foundation,Foundation slide deck,Presentation,PPTX,Deliver the Foundation pathway consistently and professionally.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-152,Staff Training,Foundation,Foundation facilitator guide,Guide,DOCX,"Provide timing, examples, prompts, exercises, and required cautions.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-153,Staff Training,Foundation,Foundation participant workbook,Workbook,XLSX,"Support note-taking, exercises, reflection, and application planning.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-154,Staff Training,Practitioner,Practitioner curriculum,Curriculum,DOCX,"Teach operational control design, evidence, review triggers, disclosures, consent boundaries, and Trust Receipts.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-155,Staff Training,Practitioner,Practitioner slide deck,Presentation,PPTX,Deliver the Practitioner pathway with role-specific examples and labs.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-156,Staff Training,Practitioner,Practitioner facilitator guide,Guide,DOCX,"Provide lab instructions, model answers, decision rules, and debrief prompts.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-157,Staff Training,Practitioner,Practitioner participant workbook,Workbook,XLSX,"Capture control designs, evidence maps, and implementation decisions.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-158,Staff Training,Governance Lead,Governance Lead curriculum,Curriculum,DOCX,"Teach authority, operating model, escalation, evidence, executive decisions, and maturity management.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-159,Staff Training,Governance Lead,Governance Lead slide deck,Presentation,PPTX,Deliver the lead pathway with executive and governance-program exercises.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-160,Staff Training,Governance Lead,Governance Lead facilitator guide,Guide,DOCX,"Provide advanced scenarios, decision criteria, and governance cautions.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-161,Staff Training,Governance Lead,Governance Lead participant workbook,Workbook,XLSX,Develop a governance operating model and 90-day leadership plan.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-162,Staff Training,Applied Learning,Role-based case study library,Case library,XLSX,"Use realistic scenarios for product, engineering, education, compliance, safety, and leadership.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-163,Staff Training,Applied Learning,Disclosure design exercise,Exercise,DOCX,"Practice material, timely, specific, and user-legible AI disclosure.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-164,Staff Training,Applied Learning,Consent-boundary exercise,Exercise,DOCX,"Practice distinguishing notice, consent, opt-out, revocation, and non-negotiable processing.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-165,Staff Training,Applied Learning,Human-review trigger exercise,Exercise,DOCX,Practice defining when review is required and what authority the reviewer must possess.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-166,Staff Training,Applied Learning,Trust Receipt lab,Lab,DOCX,Create and critique a Trust Receipt for a consequential AI action.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-167,Staff Training,Assessment,Pre-training baseline survey,Survey,XLSX,"Measure prior knowledge, confidence, and role context.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-168,Staff Training,Assessment,Knowledge checks and answer keys,Assessment,XLSX,Verify comprehension without implying professional certification.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-169,Staff Training,Assessment,Applied competency rubric,Rubric,XLSX,Score whether participants can identify and design appropriate governance controls.,Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-170,Staff Training,Assessment,Post-training evaluation,Survey,XLSX,"Measure learning, relevance, facilitation quality, and intended application.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-171,Staff Training,Assessment,Training outcome report,Report,DOCX,"Summarize attendance, completion, learning evidence, feedback, and recommended follow-up.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-172,Staff Training,Administration,Registration and attendance roster,Register,XLSX,"Track enrolled participants, attendance, pathway, accommodations, and completion.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-173,Staff Training,Administration,Completion certificate template,Certificate,DOCX,Document participation or completion without representing independent certification.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-174,Staff Training,Administration,Recording and participant-consent form,Consent form,DOCX,"Control recording, internal reuse, participant visibility, and confidentiality.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-175,Staff Training,Administration,Train-the-trainer kit,Toolkit,DOCX,Enable approved internal facilitators to deliver defined modules under controlled terms.,Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-176,Staff Training,Administration,LMS packaging specification,Technical specification,DOCX,"Define file formats, module structure, completion rules, quizzes, and accessibility for LMS deployment.",Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-177,Staff Training,Application,30/60/90-day application plan,Plan,DOCX,Translate learning into role-specific governance actions and evidence.,Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-178,Staff Training,Application,Manager reinforcement guide,Guide,DOCX,"Help managers reinforce concepts through meetings, reviews, and work products.",Scale-ready,Medium,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-179,Governance Advisory,Setup,Advisory charter,Charter,DOCX,"Define scope, decision rights, cadence, intake, response expectations, exclusions, and minimum term.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-180,Governance Advisory,Setup,Three-month governance roadmap,Roadmap,DOCX,"Establish priority outcomes, workstreams, owners, milestones, and dependencies.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-181,Governance Advisory,Setup,Executive sponsor and governance-owner map,RACI,XLSX,"Confirm who can decide, approve, implement, accept risk, and escalate.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-182,Governance Advisory,Operations,Monthly advisory agenda,Agenda,DOCX,"Review scorecard, decisions, risks, product/policy items, regulatory changes, and actions.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-183,Governance Advisory,Operations,Advisory meeting notes,Template,DOCX,"Capture guidance, decisions, assumptions, action owners, and limitations.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-184,Governance Advisory,Operations,Governance decision log,Register,XLSX,"Maintain traceable decisions, evidence, owners, rationale, and review dates.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-185,Governance Advisory,Operations,Risk and issue register,Register,XLSX,"Track governance risks, severity, treatment, owner, due date, and accepted risk.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-186,Governance Advisory,Operations,Action and dependency tracker,Tracker,XLSX,"Track implementation work, blockers, decisions, evidence, and escalation.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-187,Governance Advisory,Operations,Product review intake form,Form,XLSX,"Collect use case, system change, users, data, consequences, disclosures, review, and remedy.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-188,Governance Advisory,Operations,Policy review intake form,Form,XLSX,"Collect policy purpose, authority, affected systems, control changes, and approval needs.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-189,Governance Advisory,Operations,Architecture review template,Template,DOCX,"Review data flows, inference, autonomy, logging, review, receipts, failures, and evidence.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-190,Governance Advisory,Operations,Trust Receipt implementation tracker,Tracker,XLSX,"Track schema, integration, UI, review, remedy, testing, and rollout tasks.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-191,Governance Advisory,Operations,Vendor governance review checklist,Checklist,XLSX,"Assess vendor disclosures, data use, changes, incidents, evidence, controls, and exit.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-192,Governance Advisory,Monitoring,Monthly governance scorecard,Dashboard,XLSX,"Report disclosure, consent, review, remedy, evidence, incidents, backlog, and maturity indicators.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-193,Governance Advisory,Monitoring,Governance KPI dictionary,Data dictionary,XLSX,"Define each metric, source, owner, calculation, threshold, and interpretation limit.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-194,Governance Advisory,Monitoring,Regulatory and standards watch log,Tracker,XLSX,"Record relevant changes, source, effective date, impact, owner, and action.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-195,Governance Advisory,Monitoring,Control change log,Register,XLSX,"Track policy, product, model, vendor, data, and workflow changes affecting governance.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-196,Governance Advisory,Monitoring,Evidence health review,Checklist,XLSX,"Check whether evidence remains current, complete, accessible, and aligned to controls.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-197,Governance Advisory,Review,Quarterly governance maturity review,Assessment,XLSX,"Measure progress, persistent gaps, accepted risk, and roadmap changes.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-198,Governance Advisory,Review,Executive decision memorandum,Memo,DOCX,"Frame material choices, options, risks, recommendation, and required authority.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-199,Governance Advisory,Review,Board or leadership update deck,Presentation,PPTX,"Provide concise oversight of risk, progress, decisions, and resource needs.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-200,Governance Advisory,Review,Governance event/post-incident review,Review template,DOCX,"Examine control performance, user impact, evidence, decisions, remedy, and corrective action.",Pilot-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-201,Governance Advisory,Review,Accepted-risk register,Register,XLSX,"Record who accepted which residual risk, why, for how long, and under what monitoring.",Pilot-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-202,Governance Advisory,Closeout,Renewal and scope review,Review template,DOCX,"Assess value, remaining needs, scope changes, cadence, and renewal terms.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-203,Governance Advisory,Closeout,Advisory transition packet,Closeout packet,DOCX,"Transfer current roadmap, decisions, risks, evidence, open actions, and governance calendar.",Scale-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-204,Shared Foundation,Method Library,Governance domain taxonomy,Taxonomy,XLSX,"Define standard domains used across assessments, crosswalks, training, workshops, and advisory.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-205,Shared Foundation,Method Library,Control ID and naming standard,Standard,DOCX,"Create stable identifiers for controls, requirements, evidence, findings, and tests.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-206,Shared Foundation,Method Library,Consequence classification model,Taxonomy,XLSX,"Classify AI actions by materiality, reversibility, duration, scale, and rights impact.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-207,Shared Foundation,Method Library,Disclosure classification model,Taxonomy,XLSX,"Classify disclosure by timing, materiality, specificity, persistence, and channel.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-208,Shared Foundation,Method Library,Consent-state model,State model,XLSX,"Define requested, informed, granted, refused, withdrawn, expired, overridden, and not-applicable states.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-209,Shared Foundation,Method Library,Human-review state model,State model,XLSX,"Define not-required, pending, completed, overridden, escalated, failed, and user-requested review.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-210,Shared Foundation,Method Library,Remedy taxonomy,Taxonomy,XLSX,"Define correction, explanation, appeal, reversal, escalation, suspension, deletion, and closure.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-211,Shared Foundation,Method Library,Evidence taxonomy,Taxonomy,XLSX,"Classify policy, design, configuration, log, test, approval, training, incident, and user-facing evidence.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-212,Shared Foundation,Method Library,Evidence strength scale,Rubric,XLSX,"Rate directness, completeness, currency, coverage, independence, and reproducibility.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-213,Shared Foundation,Method Library,Governance maturity model,Rubric,XLSX,"Define ad hoc, repeatable, defined, implemented, measured, and improving states.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-214,Shared Foundation,Method Library,Risk severity model,Scoring model,XLSX,"Score consequence, exposure, scale, duration, detectability, reversibility, and control weakness.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-215,Shared Foundation,Method Library,Longitudinal risk indicator library,Indicator library,XLSX,"Define indicators for accumulated reliance, repeated influence, memory, inference drift, and unresolved remedy.",Scale-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-216,Shared Foundation,Method Library,Minimum audit-trail fields,Data specification,XLSX,"Define actor, action, authority, time, system, evidence, review, change, and remedy fields.",Delivery-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-217,Shared Foundation,Method Library,Retention classification model,Taxonomy,XLSX,"Define retention periods and conditions by evidence, receipt, complaint, training, and decision type.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-218,Shared Foundation,Method Library,Exception taxonomy,Taxonomy,XLSX,"Classify control waiver, emergency override, technical failure, evidence gap, legal hold, and accepted risk.",Delivery-ready,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-219,Shared Foundation,Method Library,Conformance test pattern library,Test library,XLSX,"Define positive, negative, boundary, failure, override, and evidence tests.",Scale-ready,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-220,Shared Foundation,Method Library,Glossary and controlled vocabulary,Glossary,DOCX,"Keep public, client, technical, and training language consistent.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
